# K2_c03_SuPerPiG_Search -- 2015Dec18
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
205899208, 3.47338252897, 0.0001973745, 44.1286047278, 0.0004659335, 0.23438, 27.0, 49.0
205899250, 13.4528243084, 3.08865e-05, 4.14651589938, 0.0003013165, 0.01062, 76.0, 76.0
205899663, 9.25869130713, 0.0001246266, 4.38343219798, 0.0002432566, 0.20268, 40.0, 59.0
205899671, 6.83919680473, 0.0001761286, 3.91577659154, 0.0004666831, 0.129195, 81.0, 93.0
205899782, 12.4273389029, 2.10344e-05, 4.25253344018, 4.22839e-05, 0.449623, 21.0, 65.0
205899868, 10.7796227402, 0.0002911113, 5.23537361495, 0.0008100742, 0.079211, 37.0, 44.0
205900489, 50.1831685653, 1.08811e-05, 4.40465802656, 3.60385e-05, 0.101454, 47.0, 56.0
205900728, 4.71777670055, 0.0001975565, 3.65609522867, 0.0003947396, 0.515625, 6.0, 57.0
205900901, 6.96551634067, 1.94508e-05, 4.75471519532, 6.7115e-05, 0.091759, 40.0, 48.0
205901168, 36.9231905329, 1.62116e-05, 4.26076942163, 2.81043e-05, 0.417066, 22.0, 62.0
205901212, 47.5168486826, 2.88675e-05, 4.52079954704, 0.0002502712, 0.010584, 76.0, 76.0
205901226, 4.84708653746, 4.25098e-05, 3.40646377624, 0.000210409, 0.040082, 90.0, 93.0
205901259, 59.0879770739, 1.79516e-05, 7.87609173608, 3.70808e-05, 0.375, 62.0, 99.0
205901278, 6.57486511253, 0.0002219438, 4.15629985656, 0.0004742465, 0.250084, 34.0, 58.0
205901354, 3.27839069265, 7.6997e-06, 4.34725936423, 7.72001e-05, 0.010049, 69.0, 69.0
205901365, 45.9812396542, 3.16936e-05, 4.76439622399, 8.08927e-05, 0.189365, 74.0, 92.0
205901417, 12.3879919065, 4.31567e-05, 4.02669669708, 8.84275e-05, 0.391319, 48.0, 86.0
205901524, 7.06455828849, 2.90412e-05, 3.68642432412, 5.1708e-05, 0.451327, 42.0, 87.0
205901703, 70.2230753025, 1.04264e-05, 5.80803814317, 1.64967e-05, 0.306326, 16.0, 46.0
205901713, 15.6683225037, 3.30044e-05, 4.91286907656, 6.66731e-05, 0.429594, 57.0, 99.0
205901944, 24.8276803809, 1.76696e-05, 4.44994950202, 4.18891e-05, 0.231542, 14.0, 36.0
205901983, 71.3436385256, 4.27066e-05, 4.33414277339, 0.0002160987, 0.040713, 14.0, 17.0
205902142, 3.24946157099, 3.4052e-05, 4.01053550378, 6.76575e-05, 0.311453, 20.0, 50.0
205902289, 3.64827137302, 3.23134e-05, 4.52715542724, 5.48378e-05, 0.355932, 55.0, 90.0
205902352, 49.7840616327, 2.14945e-05, 3.25959518013, 0.0001091076, 0.038657, 94.0, 97.0
205902368, 12.4076342105, 2.66462e-05, 4.62605787686, 5.51829e-05, 0.370242, 38.0, 74.0
205902410, 3.42886533131, 2.50064e-05, 4.4396055287, 4.68433e-05, 0.278059, 14.0, 41.0
205902486, 24.3259926272, 2.74286e-05, 4.44246421559, 6.50608e-05, 0.229174, 31.0, 53.0
205902563, 4.14051528713, 3.35054e-05, 4.12624077172, 7.30628e-05, 0.191453, 78.0, 96.0
205902815, 4.57303305274, 1.07072e-05, 4.44591939636, 9.98673e-05, 0.010035, 81.0, 81.0
205902846, 6.20841654336, 1.38702e-05, 3.98775519174, 2.68677e-05, 0.491204, 72.0, 20.0
205902984, 71.3436385256, 0.0002370403, 5.10278444142, 0.0011989523, 0.040748, 13.0, 16.0
205903013, 3.15544760419, 1.89015e-05, 3.78513657112, 5.16521e-05, 0.105815, 82.0, 92.0
205903167, 17.5875327843, 0.000215719, 4.60622163354, 0.0005418393, 0.197514, 60.0, 79.0
205903217, 3.82574130911, 9.6738e-06, 3.89773597632, 7.05129e-05, 0.01919, 33.0, 34.0
205903268, 5.98066004059, 0.0005771642, 4.1608124982, 0.0010668282, 0.274707, 41.0, 68.0
205903279, 15.6683225037, 0.0001691652, 4.43034637878, 0.0003941904, 0.243419, 59.0, 82.0
205903300, 3.61331615402, 5.65243e-05, 4.44877609389, 0.0001836874, 0.070972, 91.0, 97.0
205903477, 5.684165053, 2.38434e-05, 5.31260156015, 3.21204e-05, 0.456807, 58.0, 2.0
