#epic_num, bper, bpow, depth, qtran, in1, in2
205909275, 0.5200769791, 0.0000307193, 0.0000663342, 0.311481, 16, 46
205909307, 1.4134194035, 0.0001236358, 0.0002477180, 0.469993, 52, 98
205909334, 1.0622919470, 0.0000242234, 0.0000632511, 0.178547, 66, 83
205909377, 1.9590517241, 0.0000398103, 0.0001156108, 0.137475, 79, 92
205909389, 0.7470860729, 0.0000202006, 0.0000404806, 0.468697, 28, 74
205909417, 1.0511616498, 0.0002726342, 0.0005453397, 0.491909, 61, 10
205909422, 1.0452644784, 0.0000682437, 0.0001367540, 0.468793, 84, 30
205909472, 0.2179602691, 0.0003130384, 0.0031430383, 0.010020, 72, 72
205909728, 1.0597025471, 0.0000053817, 0.0000107828, 0.470091, 48, 94
205909751, 0.1288276372, 0.0003411241, 0.0015656824, 0.049966, 53, 57
205909878, 0.9852525783, 0.0000144784, 0.0000363317, 0.198020, 45, 64
205909993, 0.8952992091, 0.0000160041, 0.0000333389, 0.360148, 62, 97
205910035, 2.0842829350, 0.0000178167, 0.0000701292, 0.069354, 52, 58
205910155, 0.2655847433, 0.0007736107, 0.0063717260, 0.014965, 79, 83
205910305, 0.6541564899, 0.0000154836, 0.0000309688, 0.505228, 48, 97
205910324, 0.1281189404, 0.0881087240, 0.1974257736, 0.274551, 9, 39
205910327, 0.3806001396, 0.0001688625, 0.0008634954, 0.039829, 61, 64
205910447, 0.6872479839, 0.0000419714, 0.0000840003, 0.481481, 45, 92
205910513, 0.1357324175, 0.0003949892, 0.0012138792, 0.120370, 35, 46
205910609, 1.0579832822, 0.0000159322, 0.0000424408, 0.169734, 78, 94
205910644, 1.4741264927, 0.0037884155, 0.0075871914, 0.526121, 7, 58
205910729, 0.4416974659, 0.0000975512, 0.0001955232, 0.467216, 87, 32
205910757, 0.7190766133, 0.0000489266, 0.0001411314, 0.139698, 67, 80
205910781, 0.6450967742, 0.0003600404, 0.0010390422, 0.139543, 54, 67
205910788, 0.1673631530, 0.0004789640, 0.0014720803, 0.120346, 32, 43
205910796, 0.5605344296, 0.0001079005, 0.0010783404, 0.010115, 76, 76
205910823, 0.6564613196, 0.0000850849, 0.0001982545, 0.243459, 53, 76
205910844, 2.0809573361, 0.0000857053, 0.0003003362, 0.089431, 52, 60
205910862, 0.5206998906, 0.0000203083, 0.0001414386, 0.021060, 28, 29
205910913, 2.2692336788, 0.0000139850, 0.0000424170, 0.124107, 20, 31
205910971, 1.6166531932, 0.0000179710, 0.0000671184, 0.077733, 60, 67
205910991, 1.5852137610, 0.0001171863, 0.0002343937, 0.506717, 3, 52
205911030, 0.6470169535, 0.0000601079, 0.0001202710, 0.515131, 35, 86
205911091, 0.6535009368, 0.0005428568, 0.0010858024, 0.493607, 26, 75
205911100, 1.5890766541, 0.0001172621, 0.0005475974, 0.048177, 20, 24
205911124, 0.2471166837, 0.0000219715, 0.0002162979, 0.010427, 29, 29
205911178, 0.5111092179, 0.0000101338, 0.0000326071, 0.108322, 95, 5
205911187, 1.0057669740, 0.0000104671, 0.0000220010, 0.346194, 60, 94
205911202, 0.6783121905, 0.0002623774, 0.0005752020, 0.295235, 58, 87
205911237, 0.6941982366, 0.0006215850, 0.0031511851, 0.040554, 56, 59
205911287, 2.4760214610, 0.0002934277, 0.0005965335, 0.410300, 38, 78
205911407, 0.1834925800, 0.0002713786, 0.0009325189, 0.093418, 34, 42
205911443, 0.6508918110, 0.0000128200, 0.0000284269, 0.284091, 46, 73
205911488, 0.2624317609, 0.0002012999, 0.0004052079, 0.443361, 30, 73
205911491, 0.7637099649, 0.0000144348, 0.0000288930, 0.479839, 7, 53
205911505, 0.8754669624, 0.0000126945, 0.0000256453, 0.429489, 28, 70
205911536, 2.5686761432, 0.0002859105, 0.0014597299, 0.039960, 20, 23
205911733, 0.2452578736, 0.0010902831, 0.0111008276, 0.009741, 0, 0
