#epic_num, bper, bpow, depth, qtran, in1, in2
201130890, 0.7328137978, 0.0002268982, 0.0004576191, 0.435508, 25, 67
201130940, 0.8644419469, 0.0001224270, 0.0002469791, 0.434550, 92, 34
201131062, 0.5758797443, 0.0003843286, 0.0008187641, 0.327771, 26, 58
201131066, 0.1812233802, 0.0010158980, 0.0021403088, 0.342815, 42, 75
201131171, 0.2400662649, 0.0001315206, 0.0002742229, 0.358676, 56, 91
201131303, 0.3222884770, 0.0000754799, 0.0001510769, 0.480310, 51, 98
201131337, 0.4710510199, 0.0006357068, 0.0012732889, 0.472873, 23, 69
201131339, 0.4999416676, 0.0001064119, 0.0002260041, 0.331747, 61, 93
201131749, 0.9845088451, 0.0000141220, 0.0000287376, 0.407728, 76, 16
201131793, 0.4879703284, 0.0276708727, 0.0562511876, 0.410454, 67, 8
201131821, 2.4573605308, 0.0003847628, 0.0028403536, 0.018700, 86, 87
201131882, 0.7896025270, 0.0002044415, 0.0004109929, 0.449401, 26, 70
201131954, 2.7472295998, 0.0014182900, 0.0049655093, 0.089614, 67, 75
201132121, 0.9874905356, 0.0002674059, 0.0005352350, 0.480122, 84, 31
201132212, 0.6804355223, 0.0005310280, 0.0011138176, 0.349348, 24, 58
201132377, 0.5736002754, 0.0003741699, 0.0007552577, 0.432481, 57, 99
201132518, 0.1286243536, 0.0000287847, 0.0000805438, 0.150315, 40, 54
201132630, 0.2498625618, 0.0005838226, 0.0011797747, 0.428486, 48, 90
201132732, 0.4989852951, 0.0009708149, 0.0021483168, 0.286013, 75, 3
201132737, 1.3298310946, 0.0000139143, 0.0000469747, 0.097184, 62, 71
201132839, 0.9459493551, 0.0000772296, 0.0002357134, 0.122309, 24, 35
201132973, 0.2450274867, 0.0004600740, 0.0039702632, 0.013613, 89, 90
201133037, 0.2441559499, 0.0000425602, 0.0000865504, 0.409484, 51, 91
201133059, 0.2694252584, 0.0001753732, 0.0004168348, 0.229834, 43, 65
201133060, 0.7824964132, 0.0001758047, 0.0003574218, 0.410196, 36, 76
