# K2_c00_SuPerPiG_Search -- 2016Feb25
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
202059336, 47.0879996233, 8.89968e-05, 8.40069261252, 0.0001528211, 0.507429, 21.0, 72.0
202059339, 26.3980518238, 8.88821e-05, 5.49177051971, 0.000176437, 0.479821, 30.0, 77.0
202059343, 47.1588743177, 4.41223e-05, 6.20745329363, 7.12371e-05, 0.215875, 92.0, 13.0
202059346, 3.45688778409, 0.0003812017, 9.9981591668, 0.0008773228, 0.227071, 73.0, 95.0
202059347, 20.8155894888, 0.000109042, 5.13947013787, 0.0002148069, 0.457627, 42.0, 87.0
202059348, 25.7678552448, 0.0001802403, 12.1175029941, 0.0003596893, 0.484513, 83.0, 31.0
202059350, 3.52779624154, 0.0001977096, 10.5358899898, 0.0004835333, 0.198587, 44.0, 62.0
202059351, 47.1588743177, 5.12777e-05, 6.44879074826, 0.0001187355, 0.248023, 38.0, 62.0
202059352, 46.9467037546, 2.30475e-05, 4.38243250151, 3.79146e-05, 0.419561, 99.0, 40.0
202059355, 5.04228904796, 0.0001018463, 4.71495933071, 0.0002016316, 0.468055, 93.0, 39.0
202059359, 46.9467037546, 6.38469e-05, 8.2697226002, 9.7911e-05, 0.391834, 36.0, 75.0
202059360, 44.0404144203, 0.0016890381, 21.4998583057, 0.004577387, 0.162595, 78.0, 94.0
202059364, 30.4267735323, 5.59909e-05, 14.7856899321, 0.000115013, 0.385965, 17.0, 55.0
202059367, 3.6457220945, 0.0001286457, 22.205843513, 0.0002685003, 0.35704, 42.0, 76.0
202059373, 9.22050609821, 0.000788916, 15.0873427385, 0.0015648749, 0.522825, 80.0, 31.0
202059377, 37.861040516, 0.0006366571, 23.1619474578, 0.0040003776, 0.026005, 17.0, 26.0
202059382, 46.8763733312, 5.58241e-05, 9.84783662176, 0.0001262443, 0.266617, 42.0, 69.0
202059388, 46.7364337764, 6.20688e-05, 7.21027039694, 0.0001496761, 0.220654, 45.0, 67.0
202059391, 15.755071656, 4.63055e-05, 5.09026769938, 7.01032e-05, 0.474474, 18.0, 64.0
202059392, 60.9282417633, 5.26121e-05, 6.43815819174, 0.0001028029, 0.431932, 8.0, 49.0
202059393, 47.1588743177, 3.61052e-05, 5.59116700275, 8.73955e-05, 0.218347, 37.0, 59.0
