# K2_c04_SuPerPiG_Search -- 2015Dec20
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
210320099, 64.5732381596, 8.84761e-05, 5.69745743859, 0.000349973, 0.068621, 77.0, 83.0
210320253, 13.8150169234, 3.61854e-05, 4.11441923489, 6.47856e-05, 0.408347, 50.0, 90.0
210320522, 17.25784369, 2.25712e-05, 4.507816471, 3.83085e-05, 0.512594, 9.0, 59.0
210320835, 34.1440651924, 0.0004438989, 4.30507349238, 0.0016666029, 0.076848, 61.0, 68.0
210321100, 5.10895267322, 7.30851e-05, 5.65386559103, 0.0001476176, 0.430154, 8.0, 50.0
210321165, 17.2959884117, 1.94137e-05, 3.61547651142, 3.76487e-05, 0.329931, 62.0, 94.0
210321327, 5.83353284826, 5.86539e-05, 5.08320151838, 0.0001163312, 0.492303, 88.0, 36.0
210321339, 17.696909456, 5.72217e-05, 4.70670423925, 0.0001112165, 0.429133, 99.0, 41.0
210321520, 11.1760564167, 0.0010036801, 4.33268284837, 0.0044997436, 0.028786, 23.0, 25.0
210321968, 8.89304885952, 0.0019100425, 3.86373061213, 0.0182482449, 0.011079, 22.0, 22.0
210321990, 5.25740472597, 1.95848e-05, 3.89654399863, 3.94346e-05, 0.419312, 44.0, 85.0
210322064, 59.8791937267, 1.61373e-05, 4.69100876257, 0.0001437452, 0.009798, 41.0, 41.0
210322126, 14.4997670975, 0.1733219092, 40.041199238, 0.2033538368, 0.460581, 69.0, 14.0
210322242, 3.00057498518, 0.0003218828, 4.54252912332, 0.0006695158, 0.272876, 77.0, 3.0
210322349, 15.3985431695, 7.6585e-06, 4.80088313865, 1.4938e-05, 0.464467, 23.0, 69.0
210322477, 38.4186868493, 0.0053678678, 30.1511875102, 0.0070540451, 0.428106, 59.0, 1.0
210322499, 37.6334812538, 0.0010593809, 25.3407180633, 0.0021487079, 0.416814, 45.0, 86.0
210322505, 9.53218801447, 2.10449e-05, 4.88978787875, 3.37219e-05, 0.411255, 34.0, 74.0
210322534, 47.0879996233, 3.88139e-05, 3.96897456136, 0.0003509015, 0.010389, 81.0, 81.0
210322728, 6.47155294081, 0.0002713917, 4.52557022031, 0.0006151793, 0.150195, 18.0, 32.0
210322796, 6.04417688888, 2.05343e-05, 3.49949230061, 0.0001458838, 0.019491, 46.0, 47.0
210323006, 35.219793524, 0.0001132312, 9.4071579364, 0.0002153653, 0.405248, 60.0, 0.0
210323140, 3.40610524496, 0.0005737072, 3.54399168947, 0.0056860472, 0.010286, 23.0, 23.0
210323198, 4.49424147222, 1.51908e-05, 4.65665973518, 2.05468e-05, 0.471094, 8.0, 54.0
210323212, 16.7948439829, 9.89514e-05, 6.48932883582, 0.0001918771, 0.253932, 17.0, 41.0
210323331, 7.11757070194, 9.1832e-05, 4.26712442882, 0.0001649816, 0.315415, 59.0, 90.0
210323478, 24.7295973094, 2.74405e-05, 3.68063418646, 5.61344e-05, 0.393388, 17.0, 55.0
210323564, 25.5366147174, 7.32011e-05, 5.86068428574, 0.0001438737, 0.439353, 67.0, 10.0
210323749, 39.9382953337, 3.2328e-05, 3.55675459844, 6.04473e-05, 0.355193, 24.0, 58.0
210323797, 47.2300556331, 0.0001914098, 4.92921450064, 0.000390626, 0.282812, 46.0, 73.0
210323805, 7.76948205719, 6.61847e-05, 5.84977015739, 0.0001348651, 0.404255, 75.0, 15.0
210323900, 3.29947068242, 0.000133057, 4.12212799358, 0.0001963636, 0.382748, 56.0, 93.0
210324150, 47.3014521546, 3.47953e-05, 4.62121787564, 5.87743e-05, 0.463934, 41.0, 86.0
210324165, 57.1462587059, 2.12237e-05, 3.74567208122, 4.55179e-05, 0.240027, 64.0, 87.0
210324184, 45.447143079, 4.47639e-05, 8.28052482641, 0.000107215, 0.224898, 62.0, 84.0
210324198, 45.447143079, 3.94973e-05, 7.03818089575, 9.45706e-05, 0.225102, 62.0, 84.0
210324263, 3.55665785603, 0.0006112631, 4.29053189557, 0.0035089313, 0.020434, 96.0, 97.0
