#epic_num, bper, bpow, depth, qtran, in1, in2
210332059, 0.9778654323, 0.0000255078, 0.0000510169, 0.503662, 45, 95
210332154, 0.1429790276, 0.0000016458, 0.0000124926, 0.017668, 74, 75
210332382, 0.2310500736, 0.0006000376, 0.0030634735, 0.039961, 61, 64
210332895, 1.1333736351, 0.0001415089, 0.0002833349, 0.523654, 23, 74
210333158, 0.5188356164, 0.0000145152, 0.0001439371, 0.010275, 97, 97
210333193, 0.5498991751, 0.0001047104, 0.0002356953, 0.270584, 13, 39
210333258, 0.1822362626, 0.0000721449, 0.0001445777, 0.468456, 81, 27
210333335, 1.9473513373, 0.0000113470, 0.0000343152, 0.124957, 74, 86
210333478, 1.3190712809, 0.0000137932, 0.0000276843, 0.457969, 19, 64
210333577, 1.7418849080, 0.0002974674, 0.0006659622, 0.275315, 41, 68
210333653, 0.9046139928, 0.0000667287, 0.0001342426, 0.445995, 12, 55
210333713, 0.5545757072, 0.0000231258, 0.0000488450, 0.339244, 28, 61
210333993, 1.0780980449, 0.0000797297, 0.0001755588, 0.290837, 26, 54
210334087, 0.2297881142, 0.0000728360, 0.0001470809, 0.430961, 4, 46
210334711, 0.5964211154, 0.0000352744, 0.0000816755, 0.248057, 73, 97
210334851, 0.6103774545, 0.0000501506, 0.0001006682, 0.457347, 50, 95
210335277, 1.3257756563, 0.0000498291, 0.0001009844, 0.419235, 47, 88
210335311, 1.4073187896, 0.0000652070, 0.0001400126, 0.318058, 54, 85
210335351, 0.6322745189, 0.0000228637, 0.0000546426, 0.226280, 76, 98
210335394, 0.1889693839, 0.0000273752, 0.0001250484, 0.050472, 69, 73
210335514, 0.5894130823, 0.0005480278, 0.0011836290, 0.311254, 68, 98
210335583, 0.1782511810, 0.0001769513, 0.0010137042, 0.031461, 36, 38
210335684, 2.0710439105, 0.0000333714, 0.0003320587, 0.010204, 28, 28
210335803, 2.5337444041, 0.0000827190, 0.0003248483, 0.069699, 62, 68
210335817, 2.4854586130, 0.0000597586, 0.0001790774, 0.127653, 61, 73
210335889, 1.9531840083, 0.0002174624, 0.0005603160, 0.184765, 82, 0
210336056, 0.6554715497, 0.0002839682, 0.0005679383, 0.501305, 30, 79
210336121, 0.2224587112, 0.0000244227, 0.0002408976, 0.010386, 76, 76
210336238, 1.6965669363, 0.0004613918, 0.0009632557, 0.356589, 54, 89
210336286, 1.4351944883, 0.0003764957, 0.0007708336, 0.393045, 92, 30
210336338, 0.3378154667, 0.0000291792, 0.0002816857, 0.010848, 55, 55
210336461, 1.8991452991, 0.0001439340, 0.0002884272, 0.468878, 80, 26
210336845, 0.8667398654, 0.0001379780, 0.0003448610, 0.200130, 24, 43
210336890, 1.4304721030, 0.0000103651, 0.0000395685, 0.074111, 36, 42
210336897, 0.1661055429, 0.0005454203, 0.0017530529, 0.108592, 1, 11
210337222, 0.3408169062, 0.0000106665, 0.0001073435, 0.009973, 55, 55
210337288, 1.3746849365, 0.0000066885, 0.0000245617, 0.080662, 68, 75
210337831, 0.1498973101, 0.0006089669, 0.0030881910, 0.040527, 84, 87
210337911, 0.6479813363, 0.0000283946, 0.0000569682, 0.460394, 83, 29
210337961, 1.0789899644, 0.0000394572, 0.0000796291, 0.433155, 72, 14
210338097, 1.3271247180, 0.0003648479, 0.0007347952, 0.441196, 74, 17
210338118, 0.5741052632, 0.0000169133, 0.0000381384, 0.269063, 67, 93
210338231, 0.5330430920, 0.0000060729, 0.0000618462, 0.009737, 98, 98
210338347, 0.3744803565, 0.0000752710, 0.0001660497, 0.289014, 45, 73
210338379, 0.8707907571, 0.0007830595, 0.0016155155, 0.377304, 56, 93
210338390, 1.9473513373, 0.0000475008, 0.0001047003, 0.289831, 70, 99
210338416, 0.9837662338, 0.0000235384, 0.0000470862, 0.489984, 38, 86
210338425, 0.6584498540, 0.0000134456, 0.0000275861, 0.388487, 21, 59
210338525, 1.4304721030, 0.0000152108, 0.0000331455, 0.301504, 18, 47
210338527, 0.1859252877, 0.0002426467, 0.0015025414, 0.026797, 37, 39
210338718, 0.2146598732, 0.0024837380, 0.0175416392, 0.020467, 84, 85
210338796, 1.5910151692, 0.0001584631, 0.0003171198, 0.517470, 27, 78
210338814, 0.1460696043, 0.0008324719, 0.0037963771, 0.050649, 66, 70
210338942, 0.5489733172, 0.0023783956, 0.0060107612, 0.194337, 47, 65
210338993, 0.8684713376, 0.0001660513, 0.0003329501, 0.464348, 51, 96
210339021, 1.0369538164, 0.0000267353, 0.0000573552, 0.319121, 74, 5
210339048, 1.7896903526, 0.0000289917, 0.0000641854, 0.285573, 44, 72
210339068, 2.3854473161, 0.0002759859, 0.0005612360, 0.409527, 90, 30
210339090, 0.3684501437, 0.0001201094, 0.0006156722, 0.039629, 36, 39
