#epic_num, bper, bpow, depth, qtran, in1, in2
202060142, 0.7741361067, 0.0000521904, 0.0001106113, 0.334559, 84, 17
202060145, 1.1493543814, 0.0004694529, 0.0009394613, 0.517192, 49, 0
202060162, 2.0842829350, 0.0001113479, 0.0002834831, 0.190614, 31, 49
202060164, 1.0772075987, 0.0004684737, 0.0021705497, 0.048983, 72, 76
202060168, 2.6961172029, 0.0000397407, 0.0000797264, 0.539163, 93, 44
202060169, 1.9329209356, 0.0000417664, 0.0000845197, 0.423817, 29, 71
202060170, 0.6241053595, 0.0001758125, 0.0003523339, 0.468300, 6, 52
202060171, 1.6535472135, 0.0008727401, 0.0029434227, 0.097403, 69, 78
202060174, 0.2450735294, 0.0000349411, 0.0003600183, 0.009510, 16, 24
202060176, 0.9231834549, 0.0000777374, 0.0001574002, 0.422031, 95, 36
202060178, 0.5489733172, 0.0022683310, 0.0045563102, 0.453616, 6, 50
202060179, 1.2436051573, 0.0003252130, 0.0006505392, 0.509326, 62, 12
202060184, 0.1319959341, 0.0017300471, 0.0034706186, 0.461091, 29, 75
202060187, 1.0175373134, 0.0005365183, 0.0010879627, 0.417461, 16, 57
202060189, 1.9502633119, 0.0007171565, 0.0020211767, 0.147719, 33, 47
202060191, 2.4666557027, 0.0000385014, 0.0000771016, 0.474702, 56, 3
202060193, 0.1867773329, 0.0000342601, 0.0000685922, 0.522895, 92, 43
202060194, 0.8760550218, 0.0005742458, 0.0011486814, 0.490909, 17, 65
202060196, 1.2665512582, 0.0002992955, 0.0006502673, 0.304665, 95, 24
202060198, 1.7032137179, 0.0009549330, 0.0034257450, 0.084913, 95, 7
202060207, 0.8022304236, 0.0001790433, 0.0003581680, 0.510653, 96, 46
202060210, 2.8743771560, 0.0001663550, 0.0003327179, 0.496537, 50, 1
202060369, 1.9590517241, 0.0000526460, 0.0001262244, 0.224242, 41, 63
202060377, 1.9502633119, 0.0000369075, 0.0000829968, 0.271408, 44, 71
202060378, 1.8772764253, 0.0000326042, 0.0000784034, 0.222389, 65, 87
202060383, 0.1357606753, 0.0000507548, 0.0005220075, 0.009545, 57, 57
202060391, 0.7920000000, 0.0000625723, 0.0001313826, 0.347762, 50, 84
202060392, 1.9215296906, 0.0000479438, 0.0000975394, 0.408369, 37, 78
202060403, 1.2169168357, 0.0020610764, 0.0041285854, 0.472100, 54, 0
202060404, 1.4058018558, 0.0003070706, 0.0006156653, 0.464841, 97, 42
202060408, 0.6010941007, 0.0000618667, 0.0001260624, 0.404335, 56, 95
202060419, 1.9619988227, 0.0000570271, 0.0001328188, 0.243777, 39, 65
202060421, 0.2703187377, 0.0001034325, 0.0002070210, 0.519403, 98, 48
202060422, 1.5457590436, 0.0000837346, 0.0001930031, 0.251458, 36, 60
202060423, 1.5294447560, 0.0004359394, 0.0008724948, 0.518786, 5, 55
202060425, 1.9590517241, 0.0000310229, 0.0000620881, 0.518437, 13, 64
202060428, 1.6328452452, 0.0000489354, 0.0000979410, 0.518931, 83, 34
202060437, 1.9300604813, 0.0000353698, 0.0000708229, 0.475764, 31, 79
202060439, 0.6675494036, 0.0023603682, 0.0055130934, 0.241742, 63, 86
202060443, 0.3127815315, 0.0002738511, 0.0005479298, 0.514409, 19, 69
202060447, 2.0291551106, 0.0435725376, 0.1406742460, 0.107494, 30, 40
202060460, 0.7299428154, 0.0000816841, 0.0001779855, 0.301564, 44, 73
202060461, 0.1403480043, 0.0010919330, 0.0021852703, 0.517922, 58, 9
202060463, 0.2293839660, 0.0002764222, 0.0005540956, 0.466418, 36, 82
202060468, 0.9160508154, 0.0001485829, 0.0002973431, 0.517267, 68, 18
202060471, 0.5392137477, 0.0016365091, 0.0034181112, 0.355869, 31, 66
202060476, 0.5141314594, 0.0000469406, 0.0000939908, 0.475872, 37, 83
202060483, 0.6428709200, 0.0003316208, 0.0006634598, 0.487179, 29, 77
202060488, 0.5053658372, 0.0002487671, 0.0005065395, 0.406138, 46, 86
202060490, 0.8324406827, 0.0005449822, 0.0010899648, 0.500358, 71, 20
202060496, 0.4734449723, 0.0006100275, 0.0012210885, 0.479433, 9, 56
202060503, 1.1055133780, 0.0002335826, 0.0004723212, 0.426323, 35, 76
202060505, 0.3051700985, 0.0004969480, 0.0009971420, 0.459689, 51, 96
202060506, 0.9800699186, 0.0272160272, 0.0804170675, 0.131950, 67, 83
202060509, 1.3834340267, 0.0000929226, 0.0002061758, 0.283498, 47, 74
202060510, 1.0934640761, 0.0011662712, 0.0023338523, 0.516750, 41, 92
202060512, 0.2501501051, 0.0000258076, 0.0000516892, 0.473260, 34, 81
202060514, 1.2067827976, 0.0007292782, 0.0014586820, 0.506560, 57, 7
202060515, 1.9649548015, 0.0000264130, 0.0000627934, 0.229690, 39, 61
202060516, 0.7601490041, 0.0000939762, 0.0001880365, 0.514948, 88, 38
202060523, 0.9192792130, 0.0001185740, 0.0002372862, 0.517066, 87, 37
202060527, 1.9679197008, 0.0009409465, 0.0024167031, 0.186303, 23, 41
202060532, 1.9243648961, 0.0000200858, 0.0000410981, 0.394428, 36, 75
202060539, 0.9669901035, 0.0033635478, 0.0067273121, 0.504012, 53, 2
202060541, 2.0260029718, 0.0005582297, 0.0013102566, 0.238304, 51, 74
202060545, 2.3426005467, 0.0002135863, 0.0004454597, 0.358209, 20, 55
202060550, 0.5915517955, 0.0000335459, 0.0000709695, 0.336988, 51, 84
202060551, 0.1264666327, 0.0000632201, 0.0001273911, 0.439024, 18, 61
202060552, 0.8593159161, 0.0009117283, 0.0018250929, 0.478832, 43, 91
202060553, 1.4926851115, 0.0000198508, 0.0000694570, 0.089734, 56, 64
202060554, 0.7526911399, 0.0003701126, 0.0007424314, 0.461482, 77, 22
202060562, 0.8742932090, 0.0006064687, 0.0012139118, 0.520029, 87, 38
202060564, 1.9561134659, 0.0000319397, 0.0000772443, 0.218884, 43, 64
202060571, 0.1877722971, 0.0000503679, 0.0001855328, 0.080119, 95, 2
202060573, 0.9027355623, 0.0005558585, 0.0012663199, 0.260589, 56, 82
202060577, 1.0191275396, 0.0149319826, 0.0474820564, 0.111278, 28, 38
202060581, 0.2656929522, 0.0001863491, 0.0003732356, 0.473181, 82, 28
202060594, 2.5436275757, 0.0000437157, 0.0000874502, 0.510350, 43, 93
202060597, 1.9386673560, 0.0000363241, 0.0000726505, 0.495977, 26, 75
202060600, 1.9590517241, 0.0000245732, 0.0000780150, 0.111686, 53, 63
202060603, 1.4103624994, 0.0000218889, 0.0000440230, 0.447291, 47, 91
202060604, 0.6152725930, 0.0003260846, 0.0006528026, 0.522022, 98, 49
202060605, 1.9619988227, 0.0000557636, 0.0001118094, 0.464493, 18, 64
202060607, 0.3879591309, 0.0008559843, 0.0017135938, 0.478229, 94, 40
202060610, 0.6567919075, 0.0002201591, 0.0004403295, 0.496418, 11, 60
202060619, 0.5157579822, 0.0000436147, 0.0000971910, 0.279499, 48, 75
202060623, 2.3468158348, 0.0000441825, 0.0001226746, 0.153179, 2, 16
202060631, 0.2031573814, 0.0009480986, 0.0018962295, 0.497080, 18, 66
202060633, 0.2495279291, 0.0000471194, 0.0001054069, 0.276015, 25, 51
202060636, 1.8772764253, 0.0000521489, 0.0001053562, 0.429308, 63, 6
202060643, 2.4163847269, 0.0001022105, 0.0003008612, 0.133140, 70, 83
202060646, 2.1354737666, 0.0000193663, 0.0000724112, 0.077542, 74, 81
202060654, 0.8946850394, 0.0000169751, 0.0000458764, 0.163717, 34, 49
202060667, 1.9590517241, 0.0000242350, 0.0000568327, 0.238925, 41, 64
202060670, 1.1130612245, 0.0000871688, 0.0001744624, 0.518915, 16, 66
202060672, 2.0842829350, 0.0007289046, 0.0015046655, 0.376194, 7, 44
202060680, 2.6961172029, 0.0022206096, 0.0065502702, 0.132479, 88, 0
202060684, 0.8383265329, 0.0004968344, 0.0010107012, 0.408594, 46, 86
202060688, 1.4211199545, 0.0000539800, 0.0001081403, 0.471133, 70, 16
202060702, 0.2979883773, 0.0045814373, 0.0107311701, 0.239745, 37, 60
202060704, 0.2095889550, 0.0000397494, 0.0004107459, 0.009455, 81, 81
202060706, 0.5020586463, 0.0001116067, 0.0002232137, 0.500735, 84, 33
202060707, 0.7704774870, 0.0009098521, 0.0018800122, 0.374374, 21, 57
202060710, 1.9649548015, 0.0000362404, 0.0000838348, 0.248742, 38, 62
202060712, 0.1319825766, 0.0001819676, 0.0004397924, 0.219279, 49, 70
202060722, 1.9590517241, 0.0000248072, 0.0000586672, 0.233164, 40, 63
202060730, 1.9561134659, 0.0000246524, 0.0000594240, 0.220904, 41, 63
202060732, 1.4641968077, 0.0000487530, 0.0002300441, 0.047136, 37, 41
202060735, 2.7823949541, 0.0000200933, 0.0001408372, 0.020787, 74, 75
202060743, 1.9619988227, 0.0000408561, 0.0000966044, 0.233285, 39, 62
202060752, 0.3852090610, 0.0224944319, 0.0465537940, 0.371449, 77, 13
202060764, 0.2145539335, 0.0009130474, 0.0018341107, 0.453305, 38, 84
202060766, 0.9720349968, 0.0000301755, 0.0000604045, 0.478936, 29, 76
202060767, 2.1354737666, 0.0003150588, 0.0007740593, 0.209598, 49, 70
202060768, 1.0486261623, 0.0002074741, 0.0004270739, 0.381701, 89, 26
202060779, 0.6544847599, 0.0000613749, 0.0001265049, 0.379080, 94, 31
202060791, 1.2495626093, 0.0000991408, 0.0002100798, 0.334799, 65, 98
202060792, 0.3999759990, 0.0006551916, 0.0013156932, 0.455124, 50, 95
202060795, 0.2824975279, 0.0005727532, 0.0011753172, 0.388102, 55, 93
202060800, 0.8147594861, 0.0008131933, 0.0016263871, 0.500367, 72, 23
202060806, 0.4618760201, 0.0011719532, 0.0023524228, 0.457493, 67, 12
202060813, 0.3092219198, 0.0003360703, 0.0018926023, 0.032594, 16, 18
202060818, 0.7218625917, 0.0005346236, 0.0010787940, 0.433628, 88, 30
202060824, 0.8188518549, 0.0002043589, 0.0004094969, 0.469171, 74, 19
202060831, 0.6178960595, 0.0002408700, 0.0004834936, 0.457455, 88, 32
202060833, 0.8209134944, 0.0000661530, 0.0001325469, 0.469862, 75, 21
202060835, 1.0096600471, 0.0000391688, 0.0000809028, 0.375091, 7, 43
202060839, 0.5522275405, 0.0000689607, 0.0001379404, 0.508303, 6, 55
202060840, 0.2559427314, 0.0000617586, 0.0001236382, 0.477883, 42, 89
202060849, 1.0239281813, 0.0010786530, 0.0021735762, 0.438937, 44, 87
202060863, 0.7016677972, 0.0000270292, 0.0000540599, 0.503644, 9, 59
202060876, 0.5812696198, 0.0000241585, 0.0000483251, 0.490819, 22, 70
202060877, 1.8171189726, 0.0004536776, 0.0010326603, 0.261274, 14, 39
202060888, 0.3003905468, 0.0000768246, 0.0001537335, 0.516547, 82, 33
202060891, 0.2143423676, 0.0000364671, 0.0003496746, 0.010997, 87, 87
202060892, 0.4099070784, 0.0014261172, 0.0028523441, 0.504386, 16, 66
202060907, 1.4825046951, 0.0023193154, 0.0049471361, 0.326196, 91, 22
202060909, 0.2855279941, 0.0006742413, 0.0013609305, 0.432528, 94, 36
202060911, 1.7559562138, 0.0013838466, 0.0048279906, 0.090313, 78, 88
202060919, 2.9794398093, 0.0002876373, 0.0006157619, 0.321689, 31, 63
202060920, 2.4253719276, 0.0000265721, 0.0001621413, 0.027620, 83, 85
202060921, 2.0579720088, 0.0001076849, 0.0002159987, 0.461874, 16, 61
202060928, 0.2997691547, 0.0004437175, 0.0008886348, 0.525974, 47, 98
202060932, 1.2702519585, 0.0009833601, 0.0020310281, 0.375177, 61, 97
202060937, 2.1354737666, 0.0000828425, 0.0001662551, 0.458626, 50, 96
202060943, 1.9561134659, 0.0000206408, 0.0000479874, 0.245070, 42, 66
202060946, 0.5870254403, 0.0000360227, 0.0000729856, 0.420000, 54, 95
202060981, 0.3715995243, 0.0000334794, 0.0003362422, 0.010014, 53, 53
202060986, 0.5282929149, 0.0000627242, 0.0001254679, 0.508821, 40, 90
202060995, 1.9590517241, 0.0000296050, 0.0002986958, 0.009922, 64, 65
202060999, 1.9561134659, 0.0000233060, 0.0000549745, 0.234909, 42, 66
202061000, 2.9325447258, 0.0002914747, 0.0009283681, 0.110865, 25, 39
202061001, 0.6115222311, 0.0001686518, 0.0003418411, 0.418803, 10, 51
202061002, 0.2083834082, 0.0000811633, 0.0002821466, 0.091038, 44, 52
202061003, 0.2804322829, 0.0000227078, 0.0000473469, 0.358656, 9, 43
202061013, 1.9531840083, 0.0000272267, 0.0000729117, 0.167498, 48, 64
202061020, 0.7449524424, 0.0000238904, 0.0000563246, 0.235252, 71, 93
202061026, 2.9862618218, 0.0005277733, 0.0015686837, 0.130127, 20, 32
202061029, 2.1112753378, 0.0000283019, 0.0000785441, 0.153357, 35, 49
202061034, 1.6007791238, 0.0000268933, 0.0000957818, 0.086280, 92, 0
202061042, 0.8632975509, 0.0000238229, 0.0000479184, 0.446748, 37, 81
202061043, 2.8999419954, 0.0000488722, 0.0003714867, 0.017618, 70, 71
202061046, 1.9502633119, 0.0000374936, 0.0001467061, 0.070251, 58, 64
202061048, 0.3048134863, 0.0004921614, 0.0009863530, 0.467935, 53, 99
