k2name	k2camp	isdwarf	teff	tefferr	kepmag	
202084793.0	0.0	1.0	3638.0	19.0	15.3	
202084780.0	0.0	1.0	3485.0	19.0	15.8	
202085199.0	0.0	1.0	3769.0	19.0	15.1	
202085190.0	0.0	1.0	3682.0	19.0	15.4	
202085146.0	0.0	1.0	3720.0	19.0	15.2	
202085134.0	0.0	1.0	3825.0	19.0	14.3	
202085122.0	0.0	1.0	3630.0	19.0	15.6	
202085104.0	0.0	1.0	3753.0	19.0	15.2	
202084990.0	0.0	1.0	3834.0	19.0	14.7	
202084978.0	0.0	1.0	3714.0	19.0	15.1	
202084971.0	0.0	1.0	3507.0	19.0	15.4	
202084927.0	0.0	1.0	3704.0	19.0	14.4	
202084910.0	0.0	1.0	3528.0	19.0	15.4	
202084908.0	0.0	1.0	3778.0	19.0	14.8	
202084608.0	0.0	1.0	3654.0	19.0	15.0	
202084579.0	0.0	1.0	3651.0	19.0	15.1	
202084567.0	0.0	1.0	3519.0	19.0	15.0	
202084555.0	0.0	1.0	3508.0	19.0	15.1	
202084536.0	0.0	1.0	3607.0	19.0	15.2	
202084534.0	0.0	1.0	3797.0	19.0	14.4	
202084530.0	0.0	1.0	3737.0	19.0	14.6	
202084518.0	0.0	1.0	3525.0	19.0	15.5	
202084514.0	0.0	1.0	3710.0	19.0	14.5	
202084466.0	0.0	1.0	3840.0	19.0	14.1	
202084441.0	0.0	1.0	3458.0	19.0	15.9	
202084778.0	0.0	1.0	3585.0	19.0	14.2	
202084748.0	0.0	1.0	3735.0	19.0	14.3	
202084727.0	0.0	1.0	3488.0	19.0	15.5	
202084713.0	0.0	1.0	3450.0	19.0	15.7	
202084386.0	0.0	1.0	3637.0	19.0	14.9	
202084378.0	0.0	1.0	3655.0	19.0	14.9	
202084374.0	0.0	1.0	3555.0	19.0	15.4	
202084369.0	0.0	1.0	3769.0	19.0	13.4	
202084342.0	0.0	1.0	3677.0	19.0	14.6	
202084220.0	0.0	1.0	3695.0	19.0	13.3	
202084199.0	0.0	1.0	3544.0	19.0	15.2	
202084169.0	0.0	1.0	3535.0	19.0	15.1	
202084134.0	0.0	1.0	3544.0	19.0	15.0	
202084125.0	0.0	1.0	3589.0	19.0	13.7	
202084102.0	0.0	1.0	3605.0	19.0	14.7	
202084087.0	0.0	1.0	3612.0	19.0	14.7	
