T_folded	Flux	T_half	T_double	T_raw
0.007478556150198712	1.0001557179	0.007478556150198712	0.3623622842541987	2457029.612818
0.007514209847387765	1.0001448659	0.007514209847387765	0.36239793795138775	2456983.477969
0.007672883062182778	0.9992744179	0.007672883062182778	0.36255661116618276	2457006.54557
0.007865390219219115	1.0006236872	0.007865390219219115	0.3627491183232191	2457022.870414
0.00799171707907892	1.0008833744	0.00799171707907892	0.3628754451830789	2456999.803098
0.008009897476421057	1.0003152301	0.008009897476421057	0.36289362558042104	2457039.19521
0.008244224227323571	0.9999315053	0.008244224227323571	0.36312795233132356	2457016.128002
0.008272550806624313	1.0003733573	0.008272550806624313	0.3631562789106243	2456993.060588
0.00839173127453835	1.0004861694	0.00839173127453835	0.36327545937853833	2457032.452801
0.008604058323583297	0.9992892446	0.008604058323583297	0.3634877864275833	2457009.385571
